Question;Answer;Rating;Comment;Time;Date;;Raiting;Count;Percentage;Response Time
Where can i find relevant book for the study;For relevant books related to the Industrial Engineering M.Sc. program at UiT The Arctic University of Norway in Narvik, you can explore the university's library or online resources. The library at UiT Narvik offers a range of academic books and resources specific to industrial engineering and related fields. You can also search for recommended textbooks or reading materials provided by the program faculty. Additionally, you may consider looking for books on platforms like Amazon, Google Books, or academic publishers relevant to your specific areas of study within industrial engineering.;5;More information accesible when an actual student on canvas;Corrected;;;;;;
Can you give me an overview of lab ressources at the campus ?;At UiT Narvik, the campus offers state-of-the-art manufacturing equipment including Robots, Cobots, Autonomous vehicles, Hybrid and metal printers, Virtual and augmented reality systems, and more. This equipment provides students in the Industrial Engineering M.Sc. program with hands-on experience and practical training in advanced industrial technologies. For more information, you can visit the program website: [UiT Industrial Engineering M.Sc. Narvik](https://uit.no/utdanning/program/446264/industrial_engineering_-_master).;4;;;;;;;;
Can i do 3d printing in the lab ?;Yes, at UiT Narvik, the campus offers state-of-the-art manufacturing equipment, including 3D printers, that students in the Industrial Engineering M.Sc. program can use for projects and research. The program provides hands-on experience with advanced industrial technologies such as 3D printing. For more information, you can visit the program website: [UiT Industrial Engineering M.Sc. Narvik](https://uit.no/utdanning/program/446264/industrial_engineering_-_master).;5;;;;;;;;
will i learn about Lean Six Sigma ?;Yes, in the Industrial Engineering M.Sc. program at UiT Narvik, you will learn about Lean Six Sigma. This is covered in the specialized knowledge component of the program, focusing on quality management and improvement. The program offers courses related to Lean Six Sigma to equip students with the necessary skills and knowledge in this area. For more detailed information, you can refer to the program structure on the official website: [UiT Industrial Engineering M.Sc. Narvik](https://uit.no/utdanning/program/446264/industrial_engineering_-_master).;5;;;;;;;;
At what date does the teaching start ?;The teaching at UiT Narvik typically starts in the autumn semester, which usually begins in August or early September. For the exact start date of teaching for the upcoming academic year, it is recommended to check the academic calendar on the university's official website or contact the academic administration for specific details.;5;Always late august around 21 august;Corrected;;;;;;
what master study programs can I choose when I am a electrical engineer;As an electrical engineer, you have various master's study program options available at UiT Narvik. Some of the relevant programs you can consider include: 1. Master of Science in Industrial Engineering: This program equips For detailed information about each program, admission requirements, and specific courses, you can visit the UiT Narvik website or contact the academic administration for further assistance. students with knowledge and skills in Computer-Aided Design and Manufacturing, Industrial Robotics, Optimization, Data Management, and more. It is suitable for students with a background in electrical engineering. 2. Master of Science in Industrial Technology: This program focuses on automation, robotics, 3D printing, virtual technologies, and the development of advanced industrial systems and organizations. It is well-suited for electrical engineers interested in production systems and automation. 3. You can also explore other related programs such as Master of Science in Engineering with specializations in fields like mechatronics, process engineering, or materials science. ;5;;;;;;;;
 who is responsible for study administration at IVT falculty;The responsible study administration at the IVT Faculty at UiT Narvik can be reached through the following contact information: Email: servicetorg-narvik@uit.no Phone: +47 76 96 60 10 You can also visit the faculty's official website or contact them directly for more specific details regarding study administration.;5;;;;;;;;
how many employees in IVT faculty;The number of employees at the IVT Faculty at UiT Narvik is not provided in the information available. For specific details on the faculty's workforce, I recommend reaching out to the faculty administration directly via email at servicetorg-narvik@uit.no or by phone at +47 76 96 60 10. They should be able to provide you with the most accurate and up-to-date information.;4;;;;;;;;
where can I find student culsultant at IVT faculty;You can find student consultants at the IVT Faculty at UiT Narvik by contacting the faculty administration directly. You can reach out to them via email at servicetorg-narvik@uit.no or by phone at +47 76 96 60 10. Additionally, you can visit the faculty's Facebook page for more information: https://www.facebook.com/uitnarvik.;5;Neef information on IVT faculty;Corrected;;;;;;
do you know universal robot;"I'm sorry, but I don't have specific information about ""universal robot"" in the context of the Industrial Engineering M.Sc. program at UiT The Arctic University of Norway in Narvik. If you have any other questions related to the program, admissions, or life in Narvik, feel free to ask!";5;Universal robot;Corrected;;;;;;
"What information do you have about the availability of ""universal robot"" in the Industrial Engineering M.Sc. program at UiT The Arctic University of Norway in Narvik?";;5;;;;;;;;
do you know digital twin course;"Yes, there is a course titled ""Digital Twin"" in the Industrial Engineering M.Sc. program at UiT The Arctic University of Norway in Narvik. This course is part of the program structure and is offered in the spring semester. You can find more information about the course and its content on the program website: [Industrial Engineering - Master at UiT Narvik](https://uit.no/utdanning/program/446264/industrial_engineering_-_master).";5;add link to the courses;Corrected;;;;;;
Quels sont les groupes de recherches du d�partement d'ingenierie industrielle ? ;Les groupes de recherche du d�partement d'ing�nierie industrielle comprennent le UiT Climate Change Adaptation Research Group et le SSH Centre Climate Policy Book Chapter. Ces groupes se concentrent sur des sujets tels que l'adaptation au changement climatique, les inondations soudaines, les dangers naturels, la planification spatiale marine �thique, et les impacts des changements de temp�rature de l'oc�an sur l'aquaculture. Vous pouvez trouver plus d'informations sur ces groupes de recherche sur le site Web de l'Universit� UiT The Arctic.;5;Departement of Industrial Engineering information missing ;Corrected;;;;;;
qui est le responsable du d�partement ?;Le responsable du d�partement d'ing�nierie industrielle � l'Universit� UiT The Arctic � Narvik est le professeur Nils Kristian Botnmark. Vous pouvez trouver plus d'informations sur le d�partement et son personnel sur le site Web de l'universit�.;5;verify;Corrected;;;;;;
what are the courses given in the industrial engineering;The courses offered in the Industrial Engineering M.Sc. program at UiT Narvik are as follows: - Sem. 1 (autumn): Quality Management and Improvement, Robotics and Advanced Manufacturing Systems, Industry X.0, Operations Research 1, Linear Algebra II, Discrete Mathematics with Game- and Graph Theory - Sem. 2 (spring): CAD/CAM, Manufacturing Logistics, Supply Chain Management, Computer Integrated Manufacturing, Digital Twin, Innovation and Economy - Sem. 3 (autumn): Thesis, Project - Industrial Engineering, Operations research 2, Innovation and Management - Sem. 4 (spring): Thesis You can find more information on the program structure on the official website: https://uit.no/utdanning/program/446264/industrial_engineering_-_master;5;;;;;;;;
what are the courses given in the industrial engineering;The courses in the Industrial Engineering M.Sc. program in Narvik are as follows: - Quality Management and Improvement - Robotics and Advanced Manufacturing Systems - Industry X.0 - Operations Research 1 - Linear Algebra II - Discrete Mathematics with Game- and Graph Theory - CAD/CAM - Manufacturing Logistics - Supply Chain Management - Computer Integrated Manufacturing - Digital Twin - Innovation and Economy - Thesis - Project - Industrial Engineering - Operations research 2 - Innovation and Management  You can find more information on the program structure on the UiT website: https://uit.no/utdanning/program/446264/industrial_engineering_-_master.;5;;;;;;;;
How can i get to the airport to Narvik ?;To get to the airport in Narvik, you can take the Flybussen or Flybuss Torghatten. Look for the bus FB82, and the cost will be around 30 to 40�. The travel time is approximately 75 minutes. For schedule and prices, you can check their respective websites.;5;;;;;;;;
how many inhabitants does narvik have ? ;Narvik, a municipality in Norway, has a population of approximately 20,000 inhabitants.;5;;;;;;;;
quels sont les domaines d'�tudes de l'UiT Narvik ? ;Les domaines d'�tudes � l'UiT Narvik comprennent l'ing�nierie, l'�conomie, la technologie, les sciences sociales et naturelles, ainsi que des programmes de master en technologie, en plus d'autres programmes de premier cycle.;5;;;;;;;;
combien de campus l'UiT a-t-elle ?;L'UiT The Arctic University of Norway a plusieurs campus, dont un � Narvik.;5;pas le nb exact;;;;;;;
qui est Mathis;D�sol�, je ne dispose d'aucune information sur qui est Mathis. Souhaitez-vous poser une autre question sur l'Universit� de Norv�ge arctique � Narvik ou sur un sujet connexe ?;5;nul;;;;;;;
What is today date ? ;Today's date is April 12, 2024.;5;;;;;;;;
What are the anual fees for an exchange student ?;Exchange students are exempted from paying tuition fees at UiT The Arctic University of Norway. Only new students on full-degree programs are subject to tuition fees.;5;;;;;;;;
What are they for new students?;For new students at UiT The Arctic University of Norway in Narvik, there are various resources and services available to help you get started. You can activate your UiT user account, access the wireless network, and utilize services like email, Microsoft Office 365, and Canvas. Additionally, there is a mandatory safety training in health, security, and environment (HSE) that all students must complete before accessing labs, workshops, or engaging in fieldwork. If you have any questions, you can contact the student administration at Narvik via email, phone, or visit their Facebook page for more information.;5;;;;;;;;
Is there any other Industrial Engineering Programs in Norway?;Yes, there are other universities in Norway that offer Industrial Engineering programs. Some examples include the Norwegian University of Science and Technology (NTNU) in Trondheim and the University of Agder in Kristiansand. You can visit their websites for more information on their specific programs.;3;;;;;;;;
Then, why should I choose the master program at UiT?;There are several reasons why you should consider choosing the Master's program in Industrial Engineering at UiT The Arctic University of Norway in Narvik:  1. Comprehensive Curriculum: The program offers a comprehensive curriculum covering areas such as Computer-Aided Design and Manufacturing, Industrial Robotics, Optimization, Data Management, Lean Six Sigma, and more, providing you with specialized knowledge and skills.  2. State-of-the-Art Facilities: As a student, you'll have exclusive access to state-of-the-art manufacturing equipment, including Robots, Cobots, Autonomous vehicles, 3D printers, and Virtual reality systems, enhancing your practical learning experience.  3. Job Opportunities: Graduates from the program have excellent job prospects in various industries such as Manufacturing, Oil and gas, Business consulting, Transportation, and Research and development, making them highly sought-after in the job market.  4. International Opportunities: The program allows students to participate in exchange programs with universities abroad, giving you the chance to broaden your horizons and gain global experience.  5. Research-Based Education: The program is research-based, providing you with state-of-the-art competence in technology and management, preparing you for real-world challenges in the industry.  These factors, combined with the university's commitment to sustainability, resilience, and human-centered systems, make the Master's program at UiT a compelling choice for those seeking a career in Industrial Engineering.;5;;;;;;;;
How many professors for the study program?;At UiT The Arctic University of Norway in Narvik, the Industrial Engineering Master program has a dedicated team of professors. For specific information on the exact number of professors involved in the program, I recommend reaching out to the program coordinator or department directly at studie-ivt@hjelp.uit.no. They will be able to provide you with the most up-to-date information regarding the faculty members involved in the Industrial Engineering Master program.;1;;;;;;;;
give a list of all courses;Here is a list of the courses in the Industrial Engineering M.Sc. program at UiT Narvik:  - Semester 1 (Autumn):     1. INE-3600 Quality Management and Improvement - 5 ECTS     2. INE-3601 Robotics and Advanced Manufacturing Systems - 5 ECTS     3. INE-3612 Industry X.0 - 5 ECTS     4. INE-3800 Operations Research 1 - 5 ECTS     5. MAT-3800 Linear Algebra II - 5 ECTS     6. MAT-3802 Discrete Mathematics with Game- and Graph Theory - 5 ECTS  - Semester 2 (Spring):     1. INE-3607 CAD/CAM - 5 ECTS     2. INE-3608 Manufacturing Logistics - 5 ECTS     3. INE-3609 Supply Chain Management - 5 ECTS     4. INE-3610 Computer Integrated Manufacturing - 5 ECTS     5. INE-3611 Digital Twin - 5 ECTS     6. TEK-3501 Innovation and Economy - 5 ECTS  - Semester 3 (Autumn):     1. INE-3900 Thesis - M-IN - 45 ECTS     2. INE-3602 Project - Industrial Engineering - 5 ECTS     3. INE-3606 Operations Research 2 - 5 ECTS     4. TEK-3500 Innovation and Management - 5 ECTS  - Semester 4 (Spring):     1. INE-3900 Thesis - M-IN - 45 ECTS  You can find more information about each course and access relevant links on the program website: [Industrial Engineering Master Program at UiT Narvik](https://uit.no/utdanning/program/446264/industrial_engineering_-_master).;5;;;;;;;;
give me a list of all courses at uit;I can provide you with a list of all the courses at UiT Narvik, but due to the extensive information available, it may be more convenient to explore specific programs or departments. Let me know if you would like a general list or if you have a particular program or department in mind.;5;;;;;;;;
give me a list of all courses in this master;Here is a list of all the courses in the Master of Science in Industrial Engineering program at UiT Narvik:  Semester 1 (Autumn): 1. INE-3600 Quality Management and Improvement - 5 ECTS 2. INE-3601 Robotics and Advanced Manufacturing Systems - 5 ECTS 3. INE-3612 Industry X.0 - 5 ECTS 4. INE-3800 Operations Research 1 - 5 ECTS 5. MAT-3800 Linear Algebra II - 5 ECTS 6. MAT-3802 Discrete Mathematics with Game- and Graph Theory - 5 ECTS  Semester 2 (Spring): 1. INE-3607 CAD/CAM - 5 ECTS 2. INE-3608 Manufacturing Logistics - 5 ECTS 3. INE-3609 Supply Chain Management - 5 ECTS 4. INE-3610 Computer Integrated Manufacturing - 5 ECTS 5. INE-3611 Digital Twin - 5 ECTS 6. TEK-3501 Innovation and Economy - 5 ECTS  Semester 3 (Autumn): 1. INE-3900 Thesis - M-IN - 45 ECTS 2. INE-3602 Project - Industrial Engineering - 5 ECTS 3. INE-3606 Operations Research 2 - 5 ECTS 4. TEK-3500 Innovation and Management - 5 ECTS  Semester 4 (Spring): 1. INE-3900 Thesis - M-IN - 45 ECTS  You can find more information about each course by visiting the respective links provided.;5;;;;;;;;
give me a link to each courses;Here are the links to each course in the Master of Science in Industrial Engineering program at UiT Narvik:  1. [INE-3600 Quality Management and Improvement](https://uit.no/utdanning/aktivt/emne/INE-3600) 2. [INE-3601 Robotics and Advanced Manufacturing Systems](https://uit.no/utdanning/aktivt/emne/INE-3601) 3. [INE-3612 Industry X.0](https://uit.no/utdanning/aktivt/emne/INE-3612) 4. [INE-3800 Operations Research 1](https://uit.no/utdanning/aktivt/emne/INE-3800) 5. [MAT-3800 Linear Algebra II](https://uit.no/utdanning/aktivt/emne/MAT-3800) 6. [MAT-3802 Discrete Mathematics with Game- and Graph Theory](https://uit.no/utdanning/aktivt/emne/MAT-3802) 7. [INE-3607 CAD/CAM](https://uit.no/utdanning/aktivt/emne/INE-3607) 8. [INE-3608 Manufacturing Logistics](https://uit.no/utdanning/aktivt/emne/INE-3608) 9. [INE-3609 Supply Chain Management](https://uit.no/utdanning/aktivt/emne/INE-3609) 10. [INE-3610 Computer Integrated Manufacturing](https://uit.no/utdanning/aktivt/emne/INE-3610) 11. [INE-3611 Digital Twin](https://uit.no/utdanning/aktivt/emne/INE-3611) 12. [TEK-3501 Innovation and Economy](https://uit.no/utdanning/aktivt/emne/TEK-3501) 13. [INE-3900 Thesis - M-IN](https://uit.no/utdanning/aktivt/emne/INE-3900) 14. [INE-3602 Project - Industrial Engineering](https://uit.no/utdanning/aktivt/emne/INE-3602) 15. [INE-3606 Operations Research 2](https://uit.no/utdanning/aktivt/emne/INE-3606) 16. [TEK-3500 Innovation and Management](https://uit.no/utdanning/aktivt/emne/TEK-3500);5;;;;;;;;
Give me the list of all courses available in this master with a link to there page ;Here is the list of all courses available in the Master of Science in Industrial Engineering program at UiT Narvik with links to their respective pages:  1. INE-3600 Quality Management and Improvement - [Link](https://uit.no/utdanning/aktivt/emne/INE-3600) 2. INE-3601 Robotics and Advanced Manufacturing Systems - [Link](https://uit.no/utdanning/aktivt/emne/INE-3601) 3. INE-3612 Industry X.0 4. INE-3800 Operations Research 1 - [Link](https://uit.no/utdanning/aktivt/emne/INE-3800) 5. MAT-3800 Linear Algebra II - [Link](https://uit.no/utdanning/aktivt/emne/MAT-3800) 6. MAT-3802 Discrete Mathematics with Game- and Graph Theory - [Link](https://uit.no/utdanning/aktivt/emne/MAT-3802) 7. INE-3607 CAD/CAM - [Link](https://uit.no/utdanning/aktivt/emne/INE-3607) 8. INE-3608 Manufacturing Logistics - [Link](https://uit.no/utdanning/aktivt/emne/INE-3608) 9. INE-3609 Supply Chain Management - [Link](https://uit.no/utdanning/aktivt/emne/INE-3609) 10. INE-3610 Computer Integrated Manufacturing - [Link](https://uit.no/utdanning/aktivt/emne/INE-3610) 11. INE-3611 Digital Twin - [Link](https://uit.no/utdanning/aktivt/emne/INE-3611) 12. TEK-3501 Innovation and Economy - [Link](https://uit.no/utdanning/aktivt/emne/TEK-3501) 13. INE-3900 Thesis - M-IN - [Link](https://uit.no/utdanning/aktivt/emne/INE-3900) 14. INE-3602 Project - Industrial Engineering - [Link](https://uit.no/utdanning/aktivt/emne/INE-3602) 15. INE-3606 Operations Research 2 16. TEK-3500 Innovation and Management - [Link](https://uit.no/utdanning/aktivt/emne/TEK-3500);5;;;;;;;;
tell me about the uit campus;The UiT campus in Narvik is anchored by the F Building, serving as the heart of the university. The academic core comprises buildings A, B, and C, housing classrooms and faculty offices. The E Building offers social and activity spaces, including a restaurant, library, indoor training center, and student pub. The main entrance provides easy access to student services. For more information, you can visit the UiT The Arctic University of Norway Narvik campus website at https://en.uit.no/studiesteder/narvik.;4;;;;;;;;
tell me about the universal robot;Universal Robots are advanced robotic arms that can perform a variety of tasks. These collaborative robots, also known as cobots, are a key component in industrial automation and are utilized in various industries for tasks such as assembly, pick and place, and machine tending. At the UiT campus in Narvik, students studying Industrial Engineering have access to Universal Robots as part of the state-of-the-art manufacturing equipment available for hands-on learning and research. These robots play a crucial role in preparing students for roles in advanced technical engineering and management positions.;5;;;;;;;;
give the list of courses at UiT;To find the list of courses at UiT, you can visit the official website of UiT The Arctic University of Norway at [UiT The Arctic University of Norway web site](https://en.uit.no/startsida). There you will find information on all the courses offered at the university.;5;;;;;;;;
give me a list of things i should think of before arriving in Narvik;Before arriving in Narvik, here is a list of things you should consider: - **Housing**: Arrange for student accommodation through samskipnaden (https://samskipnaden.no) or private rentals. - **Travel**: Plan your journey to Narvik, considering options like Flybussen or Flybuss Torghatten for transport. - **Semester Fee**: Pay the semester fee of NOK 710 (with NOK 40 as a voluntary SAIH fee) by the payment deadlines. - **Language**: Lectures are in English, but exams can be taken in another language if needed. - **Activation**: Activate your UiT user account and change your password for access to services. - **Climate Change Adaptation Research Group**: Explore interdisciplinary research on climate change adaptation at UiT. - **Campus Facilities**: Familiarize yourself with the campus layout, including academic buildings, social areas, and services. - **Contact Information**: Save important contact details for UiT Narvik, such as email and phone numbers. - **Program Structure**: Understand the semesters and courses in the Industrial Engineering M.Sc. program. - **Health and Safety**: Complete mandatory safety training before accessing labs or workshops. - **Support Services**: Learn about support services available on campus for students. - **Social Life**: Discover student pubs, libraries, and recreational facilities on campus for socializing and relaxation.  For further details or specific inquiries, you can contact the relevant departments at UiT Narvik.;5;;;;;;;;
how can i find a room in Narvik;To find a room in Narvik, you can apply for student accommodation through samskipnaden. They offer student housing services in Narvik, and you can find all available student rooms on their website: [samskipnaden.no](https://samskipnaden.no). This is the best way to secure housing as a student in Narvik.;5;very good;;;;;;;
coucou Mathis, c'est le Bracken qui t'a eu avant hier soir;Je suis désolé, mais je suis un chatbot développé par Mathis Roubille pour fournir des informations sur l'Université de Norvège arctique à Narvik, en particulier sur le programme de master en génie industriel. Comment puis-je vous aider aujourd'hui?;5;coucou Mathis, c'est le Bracken qui t'a eu avant hier soir;;;;;;;
quelle est la meilleur matière de l'université ?;Bonjour! À l'Université UiT de Norvège en Narvik, la matière de génie industriel M.Sc. est un programme très apprécié qui offre une solide formation en ingénierie industrielle, en gestion et en technologies avancées. Ce programme se distingue par son engagement envers la durabilité, la résilience et les systèmes et technologies centrés sur l'humain. Les étudiants ont accès à des équipements de pointe tels que des robots, des cobots, des véhicules autonomes, des imprimantes hybrides et métalliques, des systèmes de réalité virtuelle et augmentée, et bien plus encore. Il prépare les étudiants à occuper des postes de haut niveau dans des domaines variés tels que l'ingénierie, la gestion de projet, la consultation, la recherche, et bien plus encore. N'hésitez pas à visiter le site Web du programme pour plus d'informations : [UiT Industrial Engineering M.Sc. Narvik](https://uit.no/utdanning/program/446264/industrial_engineering_-_master). N'hésitez pas à contacter le service des études pour des informations spécifiques sur les cours et le programme.;5;;;;;;;;
peut tu listes les matières;Bien sûr! Voici la liste des matières du programme de Master en Ingénierie Industrielle à l'UiT Narvik :  - **Semestre 1 (automne) :**   1. [Qualité et Amélioration - 5 crédits](https://uit.no/utdanning/aktivt/emne/INE-3600)   2. [Robotique et Systèmes de Fabrication Avancés - 5 crédits](https://uit.no/utdanning/aktivt/emne/INE-3601)   3. Industrie X.0 - 5 crédits   4. [Recherche Opérationnelle 1 - 5 crédits](https://uit.no/utdanning/aktivt/emne/INE-3800)   5. [Algèbre Linéaire II - 5 crédits](https://uit.no/utdanning/aktivt/emne/MAT-3800)   6. [Mathématiques Discrètes avec Théorie des Jeux et des Graphes - 5 crédits](https://uit.no/utdanning/aktivt/emne/MAT-3802)  - **Semestre 2 (printemps) :**   1. [Conception Assistée par Ordinateur (CAO/FAO) - 5 crédits](https://uit.no/utdanning/aktivt/emne/INE-3607)   2. [Logistique de Fabrication - 5 crédits](https://uit.no/utdanning/aktivt/emne/INE-3608)   3. [Gestion de la Chaîne d'Approvisionnement - 5 crédits](https://uit.no/utdanning/aktivt/emne/INE-3609)   4. [Fabrication Intégrée par Ordinateur - 5 crédits](https://uit.no/utdanning/aktivt/emne/INE-3610)   5. [Jumeau Numérique - 5 crédits](https://uit.no/utdanning/aktivt/emne/INE-3611)   6. [Innovation et Économie - 5 crédits](https://uit.no/utdanning/aktivt/emne/TEK-3501)  - **Semestre 3 (automne) :**   1. [Mémoire de Master - 45 crédits](https://uit.no/utdanning/aktivt/emne/INE-3900)   2. [Projet - Ingénierie Industrielle - 5 crédits](https://uit.no/utdanning/aktivt/emne/INE-3602)   3. [Recherche Opérationnelle 2 - 5 crédits](https://uit.no/utdanning/aktivt/emne/INE-3606)   4. [Innovation et Gestion - 5 crédits](https://uit.no/utdanning/aktivt/emne/TEK-3500)  - **Semestre 4 (printemps) :**   1. [Mémoire de Master - 45 crédits](https://uit.no/utdanning/aktivt/emne/INE-3900)  Vous pouvez également trouver plus d'informations sur le site du programme : [UiT Industrial Engineering M.Sc. Narvik](https://uit.no/utdanning/program/446264/industrial_engineering_-_master).;5;;;;;;;;
combien de crédti au S2;Au semestre 2 (printemps) du programme de Master en Ingénierie Industrielle à l'UiT Narvik, chaque cours vaut 5 crédits. Voici la répartition des crédits pour le semestre 2 :  - **Qualité et Amélioration - 5 crédits** - **Robotique et Systèmes de Fabrication Avancés - 5 crédits** - **Industrie X.0 - 5 crédits** - **Recherche Opérationnelle 1 - 5 crédits** - **Algèbre Linéaire II - 5 crédits** - **Mathématiques Discrètes avec Théorie des Jeux et des Graphes - 5 crédits**  En tout, cela représente un total de 30 crédits pour le semestre 2.;5;à chaque fois je pense que c'est la barre pour poser des questions...;;;;;;;
Why I need to choose the Industrial Engineering Master Program at UiT?;Choosing the Industrial Engineering Master Program at UiT offers a unique opportunity to gain comprehensive knowledge and skills in areas such as Computer-Aided Design and Manufacturing, Industrial Robotics, Optimization, Data Management, Lean Six Sigma, Project Management, Production Logistics, and Supply Chain Management. The program focuses on sustainability, resilience, and human-centered systems and technologies, preparing you for various roles in engineering and management. With access to state-of-the-art equipment and a diverse cohort of students, you'll be well-equipped for a successful career in industries such as Manufacturing, Oil and Gas, Business Consulting, Transportation, Logistics, and Research and Development.;4;;;;;;;;
Any other similar programs in Norway?;Yes, there are several similar programs in Norway that focus on industrial engineering or related fields. Some universities in Norway offer Master's programs in Industrial Engineering, Manufacturing Technology, Technology Management, and Operations Management. Here are a few examples:  - **Norwegian University of Science and Technology (NTNU):** NTNU offers a Master's program in Industrial Economics and Technology Management, focusing on the intersection of technology and business.    - **University of Oslo:** The University of Oslo offers a Master's program in Production and Quality Engineering, focusing on advanced manufacturing processes and quality management.  - **Oslo Metropolitan University (OsloMet):** OsloMet offers a Master's program in Industrial Economics and Technology Management, specializing in industrial engineering and management.  These are just a few examples of similar programs in Norway. Each university may have its own unique focus and specialization within the field of industrial engineering. You can explore their websites for more detailed information on the specific programs they offer.;4;;;;;;;;
